Country;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;last_updated
China;80881;21;3226;13;68715;8940;2020-03-17T14:06:00Z
Italy;27980;NA;2158;NA;2749;23073;2020-03-17T14:06:00Z
Iran;16169;NA;988;135;5389;9792;2020-03-17T14:06:00Z
Spain;11409;NA;499;157;1028;9882;2020-03-17T14:06:00Z
S. Korea;8320;84;81;6;1401;6838;2020-03-17T14:06:00Z
Germany;7974;702;20;3;67;7887;2020-03-17T14:06:00Z
France;6633;NA;148;NA;12;6473;2020-03-17T14:06:00Z
USA;4748;85;93;7;74;4581;2020-03-17T14:06:00Z
Switzerland;2672;319;21;2;4;2647;2020-03-17T14:06:00Z
Netherlands;1705;292;43;19;2;1660;2020-03-17T14:06:00Z
UK;1543;NA;55;NA;52;1436;2020-03-17T14:06:00Z
Norway;1423;75;3;NA;1;1419;2020-03-17T14:06:00Z
Belgium;1243;185;10;NA;14;1219;2020-03-17T14:06:00Z
Austria;1211;193;4;1;8;1199;2020-03-17T14:06:00Z
Sweden;1175;54;7;NA;1;1167;2020-03-17T14:06:00Z
Denmark;960;46;4;NA;1;955;2020-03-17T14:06:00Z
Japan;876;43;28;NA;144;704;2020-03-17T14:06:00Z
Diamond Princess;696;NA;7;NA;456;233;2020-03-17T14:06:00Z
Malaysia;673;107;2;2;49;622;2020-03-17T14:06:00Z
Australia;452;51;5;NA;27;420;2020-03-17T14:06:00Z
Portugal;448;117;1;NA;3;444;2020-03-17T14:06:00Z
Canada;441;NA;4;NA;11;426;2020-03-17T14:06:00Z
Qatar;439;NA;NA;NA;4;435;2020-03-17T14:06:00Z
Czechia;396;52;NA;NA;3;393;2020-03-17T14:06:00Z
Greece;352;NA;4;NA;10;338;2020-03-17T14:06:00Z
Israel;324;26;NA;NA;11;313;2020-03-17T14:06:00Z
Finland;322;44;NA;NA;10;312;2020-03-17T14:06:00Z
Brazil;301;67;1;1;2;298;2020-03-17T14:06:00Z
Slovenia;273;20;1;NA;NA;272;2020-03-17T14:06:00Z
Singapore;266;23;NA;NA;114;152;2020-03-17T14:06:00Z
Bahrain;237;9;1;NA;81;155;2020-03-17T14:06:00Z
Estonia;225;20;NA;NA;1;224;2020-03-17T14:06:00Z
Ireland;223;NA;2;NA;5;216;2020-03-17T14:06:00Z
Poland;221;44;5;1;NA;216;2020-03-17T14:06:00Z
Iceland;220;21;NA;NA;5;215;2020-03-17T14:06:00Z
Pakistan;212;28;1;NA;2;209;2020-03-17T14:06:00Z
Philippines;187;45;12;NA;5;170;2020-03-17T14:06:00Z
Romania;184;16;NA;NA;16;168;2020-03-17T14:06:00Z
Chile;181;25;NA;NA;NA;181;2020-03-17T14:06:00Z
Thailand;177;30;1;NA;41;135;2020-03-17T14:06:00Z
Indonesia;172;38;5;NA;8;159;2020-03-17T14:06:00Z
Egypt;169;3;4;NA;32;133;2020-03-17T14:06:00Z
Hong Kong;162;7;4;NA;81;77;2020-03-17T14:06:00Z
Iraq;154;21;11;1;41;102;2020-03-17T14:06:00Z
